#SASA Calculations for N709 of SARS-COV2 spike_closed
#probe-radius	G14	G38	G61
1.4	1141.9324951171875	1022.4822998046875	667.1389770507813
2.0	1139.4637451171875	992.9239501953125	502.77679443359375
3.0	1177.4755859375	943.3070678710938	373.95257568359375
4.0	1148.0069580078125	907.1995849609375	343.01116943359375
5.0	1137.3978271484375	909.6744995117188	305.7086486816406
6.0	1171.303466796875	952.6436157226563	290.17059326171875
7.0	1225.4698486328125	1001.5942993164063	258.7847900390625
8.0	1309.187744140625	1050.857421875	229.52198791503906
9.0	1389.2689208984375	1098.3739013671875	222.2395477294922
10.0	1432.932861328125	1173.2725830078125	216.41981506347656
11.0	1500.8836669921875	1223.0753173828125	188.37718200683594
12.0	1588.0166015625	1283.0701904296875	182.8379364013672
13.0	1684.864013671875	1347.7532958984375	157.63253784179688
14.0	1732.1090087890625	1426.2818603515625	135.716796875
15.0	1807.75244140625	1471.960205078125	128.6796417236328
16.0	1885.5926513671875	1558.2166748046875	123.47715759277344
17.0	1947.896728515625	1613.751953125	130.2881317138672
18.0	1985.9898681640625	1669.5849609375	136.09381103515625
19.0	1926.52978515625	1778.460693359375	150.7964630126953
20.0	2034.1397705078125	1860.2000732421875	144.0860137939453
21.0	2134.312744140625	1931.3035888671875	121.64247131347656
